ts,symbol,side,cash_flow,cash_balance
2024-01-02 15:40:00+00:00,EURUSD,sell,1.095265,1.095265
2024-01-02 21:40:00+00:00,EURUSD,buy,-1.0940850000000002,0.0011799999999997368
2024-01-03 01:15:00+00:00,EURUSD,sell,1.09476,1.0959399999999997
2024-01-03 01:25:00+00:00,EURUSD,buy,-1.095117161031243,0.0008228389687567894
2024-01-03 01:55:00+00:00,EURUSD,sell,1.095145,1.0959678389687568
2024-01-03 03:30:00+00:00,EURUSD,buy,-1.0955188047798965,0.0004490341888603311
2024-01-03 04:45:00+00:00,EURUSD,sell,1.095945,1.0963940341888603
2024-01-03 04:55:00+00:00,EURUSD,buy,-1.0962090804236986,0.00018495376516169948
2024-01-03 05:25:00+00:00,EURUSD,sell,1.095885,1.0960699537651617
2024-01-03 05:55:00+00:00,EURUSD,buy,-1.0952033788042868,0.000866574960874944
2024-01-03 07:00:00+00:00,EURUSD,sell,1.0956100000000002,1.0964765749608751
2024-01-03 07:30:00+00:00,EURUSD,buy,-1.096115232436481,0.000361342524394237
2024-01-03 08:20:00+00:00,EURUSD,sell,1.095815,1.0961763425243942
2024-01-03 09:15:00+00:00,EURUSD,buy,-1.0942263651671364,0.0019499773572577705
2024-01-03 09:45:00+00:00,EURUSD,sell,1.093665,1.0956149773572579
2024-01-03 15:45:00+00:00,EURUSD,buy,-1.0900850000000002,0.005529977357257687
2024-01-03 17:05:00+00:00,EURUSD,sell,1.090465,1.0959949773572577
2024-01-03 19:25:00+00:00,EURUSD,buy,-1.09163455946177,0.004360417895487689
2024-01-04 01:25:00+00:00,EURUSD,sell,1.09193,1.0962904178954878
2024-01-04 03:10:00+00:00,EURUSD,buy,-1.0923305621951758,0.003959855700311987
2024-01-04 05:00:00+00:00,EURUSD,sell,1.092425,1.096384855700312
2024-01-04 06:10:00+00:00,EURUSD,buy,-1.092891967695615,0.003492888004696937
2024-01-04 10:10:00+00:00,EURUSD,sell,1.096245,1.0997378880046969
