week_start,status,dominant_side,n_events,rr,sl_atr,tp_atr,top_hours,top_dows,n_trades_week
2024-01-15 00:00:00+00:00,ok,1,26,1.9999999999993332,3.0,6.0,"[13, 12, 14]",[4],2
2024-01-22 00:00:00+00:00,ok,-1,28,6.281765648367464,0.9551454695787684,6.0,"[13, 12, 14]","[2, 3, 4]",6
2024-01-29 00:00:00+00:00,ok,-1,30,4.788302988018424,1.2530535379671601,6.0,"[13, 14, 12]",[2],2
2024-02-05 00:00:00+00:00,ok,-1,26,1.9999999999993332,3.0,6.0,"[12, 11, 13]",[4],0
2024-02-12 00:00:00+00:00,ok,-1,26,1.9999999999993332,3.0,6.0,"[12, 11, 13]",[4],0
2024-02-19 00:00:00+00:00,ok,-1,30,1.9999999999993332,3.0,6.0,"[12, 11, 13]",[1],1
2024-02-26 00:00:00+00:00,ok,-1,30,1.9999999999993332,3.0,6.0,"[12, 11, 13]",[1],1
2024-03-04 00:00:00+00:00,ok,1,30,1.9999999999993332,3.0,6.0,"[14, 15, 13]",[4],1
2024-03-11 00:00:00+00:00,ok,1,30,1.9999999999993332,3.0,6.0,"[13, 14, 15]","[4, 0]",2
2024-03-18 00:00:00+00:00,ok,1,26,5.568718317441177,1.0774472074126076,6.0,"[13, 14, 15]","[0, 4]",5
2024-03-25 00:00:00+00:00,ok,1,21,9.999999999983334,0.6,6.0,"[18, 19, 20]",[2],0
2024-04-01 00:00:00+00:00,ok,1,21,9.999999999983334,0.6,6.0,"[18, 19, 20]",[2],0
2024-04-08 00:00:00+00:00,ok,1,30,1.9999999999993332,3.0,6.0,"[12, 13, 20]","[4, 3]",4
2024-04-15 00:00:00+00:00,ok,-1,25,1.9999999999993332,3.0,6.0,"[15, 14, 16]",[4],0
2024-04-22 00:00:00+00:00,ok,-1,26,2.020305828975248,2.969847393372783,6.0,"[15, 14, 16]",[4],0
2024-04-29 00:00:00+00:00,ok,1,22,1.9999999999993332,3.0,6.0,"[0, 16, 22]","[4, 3, 0]",1
2024-05-06 00:00:00+00:00,ok,-1,30,2.891128832503765,2.075313950918268,6.0,"[0, 23, 1]","[1, 0, 4]",0
2024-05-13 00:00:00+00:00,ok,1,20,2.18341529664022,2.747988442340975,6.0,"[17, 11, 18]","[2, 3, 4]",5
2024-05-20 00:00:00+00:00,ok,1,30,3.676232344733612,1.6321057640961203,6.0,"[12, 11, 13]","[4, 2, 3]",8
2024-05-27 00:00:00+00:00,ok,-1,22,6.562498645109237,0.9142859030477657,6.0,"[10, 12, 9]","[0, 2]",2
2024-06-03 00:00:00+00:00,ok,-1,30,6.562498645109237,0.9142859030477657,6.0,"[10, 12, 13]","[2, 0, 4]",4
2024-06-10 00:00:00+00:00,ok,-1,30,3.246487063331641,1.8481515197659146,6.0,"[7, 6, 5]",[4],0
2024-06-17 00:00:00+00:00,ok,-1,30,3.246487063331641,1.8481515197659146,6.0,"[7, 6, 5]",[4],0
2024-06-24 00:00:00+00:00,ok,-1,30,3.334700443438972,1.799262063194214,6.0,"[12, 11, 13]",[4],1
